"Source","Target","score"
"PSEN1","ALZHEIMER'S DISEASE",1
"APP","ALZHEIMER'S DISEASE",1
"PSEN2","ALZHEIMER'S DISEASE",1
"APOE","ALZHEIMER'S DISEASE",1
"ABCA7","ALZHEIMER'S DISEASE",1
"HFE","ALZHEIMER'S DISEASE",1
"APH1B","ALZHEIMER'S DISEASE",1
"GRIN2B","ALZHEIMER'S DISEASE",1
"GRIN3A","ALZHEIMER'S DISEASE",1
"SORL1","ALZHEIMER'S DISEASE",1
"CLU","ALZHEIMER'S DISEASE",1
"BCHE","ALZHEIMER'S DISEASE",1
"ACHE","ALZHEIMER'S DISEASE",1
"TOMM40","ALZHEIMER'S DISEASE",1
"CR1","ALZHEIMER'S DISEASE",1
"SLC6A3","ALZHEIMER'S DISEASE",1
"HMGCR","ALZHEIMER'S DISEASE",1
"PTGS2","ALZHEIMER'S DISEASE",1
"HTR6","ALZHEIMER'S DISEASE",1
"PPARG","ALZHEIMER'S DISEASE",1
"CDK5","ALZHEIMER'S DISEASE",1
"GRIN2A","ALZHEIMER'S DISEASE",1
"HTR2A","ALZHEIMER'S DISEASE",1
"NCSTN","ALZHEIMER'S DISEASE",1
"DRD2","ALZHEIMER'S DISEASE",1
"ADRB1","ALZHEIMER'S DISEASE",1
"CAST","ALZHEIMER'S DISEASE",1
"SLC6A4","ALZHEIMER'S DISEASE",1
"SLC6A2","ALZHEIMER'S DISEASE",1
"HTR1A","ALZHEIMER'S DISEASE",1
"FAAH","ALZHEIMER'S DISEASE",1
"PRDX2","ALZHEIMER'S DISEASE",1
"ADRB2","ALZHEIMER'S DISEASE",1
"PTGS1","ALZHEIMER'S DISEASE",1
"CHRNA4","ALZHEIMER'S DISEASE",1
"JUN","ALZHEIMER'S DISEASE",1
"PSENEN","ALZHEIMER'S DISEASE",1
"STAT4","ALZHEIMER'S DISEASE",1
"CDK5R1","ALZHEIMER'S DISEASE",1
"GRIN1","ALZHEIMER'S DISEASE",1
"GRIN2D","ALZHEIMER'S DISEASE",1
"NECTIN2","ALZHEIMER'S DISEASE",1
"SIGMAR1","ALZHEIMER'S DISEASE",1
"PRDX1","ALZHEIMER'S DISEASE",1
"CHRNB2","ALZHEIMER'S DISEASE",1
"CHRNA7","ALZHEIMER'S DISEASE",1
"TRPV1","ALZHEIMER'S DISEASE",1
"MARK4","ALZHEIMER'S DISEASE",1
"GABBR1","ALZHEIMER'S DISEASE",1
"LMNA","ALZHEIMER'S DISEASE",1
"CAPN1","ALZHEIMER'S DISEASE",1
"GRIN3B","ALZHEIMER'S DISEASE",1
"CAPNS1","ALZHEIMER'S DISEASE",1
"APOC1","ALZHEIMER'S DISEASE",1
"APH1A","ALZHEIMER'S DISEASE",1
"SCN8A","ALZHEIMER'S DISEASE",1
"GRIN2C","ALZHEIMER'S DISEASE",1
"LMNB1","ALZHEIMER'S DISEASE",1
"GOLGA2","ALZHEIMER'S DISEASE",1
"SCN2A","ALZHEIMER'S DISEASE",1
"GABBR2","ALZHEIMER'S DISEASE",1
"SCN3A","ALZHEIMER'S DISEASE",1
"CAPNS2","ALZHEIMER'S DISEASE",1
"CAPN2","ALZHEIMER'S DISEASE",1
"PDE3A","ALZHEIMER'S DISEASE",1
"FOXO3","ALZHEIMER'S DISEASE",1
"SCN1A","ALZHEIMER'S DISEASE",1
"ADRB3","ALZHEIMER'S DISEASE",1
"SCN10A","ALZHEIMER'S DISEASE",1
"SCN5A","ALZHEIMER'S DISEASE",1
"ADRA1D","ALZHEIMER'S DISEASE",1
"ADRA1B","ALZHEIMER'S DISEASE",1
"SCN9A","ALZHEIMER'S DISEASE",1
"SCN11A","ALZHEIMER'S DISEASE",1
"CDC25A","ALZHEIMER'S DISEASE",1
"CDC25C","ALZHEIMER'S DISEASE",1
"CACNA2D1","ALZHEIMER'S DISEASE",1
"SCN7A","ALZHEIMER'S DISEASE",1
"ADRA1A","ALZHEIMER'S DISEASE",1
"CDC25B","ALZHEIMER'S DISEASE",1
"SCN4A","ALZHEIMER'S DISEASE",1
"BCAM","ALZHEIMER'S DISEASE",0.986860207414117
"ADAM10","ALZHEIMER'S DISEASE",0.980151960613352
"TREM2","ALZHEIMER'S DISEASE",0.975990639787191
"PICALM","ALZHEIMER'S DISEASE",0.951957684847563
"BACE1","ALZHEIMER'S DISEASE",0.950354783268252
"EXOC3L2","ALZHEIMER'S DISEASE",0.938127364249392
"PILRA","ALZHEIMER'S DISEASE",0.927033680604153
"PPP1R37","ALZHEIMER'S DISEASE",0.924489836950102
"RELB","ALZHEIMER'S DISEASE",0.914466945785934
"PVR","ALZHEIMER'S DISEASE",0.91322168549069
"PTK2B","ALZHEIMER'S DISEASE",0.903973989189416
"CLASRP","ALZHEIMER'S DISEASE",0.892739895470974
"MMP1","ALZHEIMER'S DISEASE",0.884122222222222
"MMP13","ALZHEIMER'S DISEASE",0.882072222222222
"MMP7","ALZHEIMER'S DISEASE",0.880125
"CBLC","ALZHEIMER'S DISEASE",0.880081848950604
"MMP8","ALZHEIMER'S DISEASE",0.875
"MS4A4A","ALZHEIMER'S DISEASE",0.849516793347019
"CLPTM1","ALZHEIMER'S DISEASE",0.849196596061257
"ESR2","ALZHEIMER'S DISEASE",0.838923505931792
"ALDH1A2","ALZHEIMER'S DISEASE",0.814162832803487
"MS4A6A","ALZHEIMER'S DISEASE",0.813834130565089
"ESR1","ALZHEIMER'S DISEASE",0.811816434734491
"BIN1","ALZHEIMER'S DISEASE",0.80934804277365
"NR3C1","ALZHEIMER'S DISEASE",0.791407649596869
"NKPD1","ALZHEIMER'S DISEASE",0.788344771233179
"DRD3","ALZHEIMER'S DISEASE",0.784545055555556
"DRD4","ALZHEIMER'S DISEASE",0.780647222222222
"ALDH5A1","ALZHEIMER'S DISEASE",0.763458952753303
"FGFR3","ALZHEIMER'S DISEASE",0.761880349637978
"BCL3","ALZHEIMER'S DISEASE",0.759846459467242
"PDGFRB","ALZHEIMER'S DISEASE",0.757538888888889
"KIT","ALZHEIMER'S DISEASE",0.7536
"PDGFRA","ALZHEIMER'S DISEASE",0.75
"APOC4","ALZHEIMER'S DISEASE",0.742187936681412
"ABCA1","ALZHEIMER'S DISEASE",0.729575678760285
"CEACAM16","ALZHEIMER'S DISEASE",0.726217141842056
"APOC4-APOC2","ALZHEIMER'S DISEASE",0.714247599006223
"ZCWPW1","ALZHEIMER'S DISEASE",0.714185690625097
"PDE5A","ALZHEIMER'S DISEASE",0.713360417771892
"HTR2C","ALZHEIMER'S DISEASE",0.710185849189008
"CEACAM20","ALZHEIMER'S DISEASE",0.708291045826539
"VDR","ALZHEIMER'S DISEASE",0.708105710337263
"ADRA2A","ALZHEIMER'S DISEASE",0.7041
"GRN","ALZHEIMER'S DISEASE",0.701188869104253
"ADRA2B","ALZHEIMER'S DISEASE",0.7
"ADRA2C","ALZHEIMER'S DISEASE",0.7
"CHRNA9","ALZHEIMER'S DISEASE",0.7
"CHRNA10","ALZHEIMER'S DISEASE",0.7
"MADD","ALZHEIMER'S DISEASE",0.660394444444445
"APOB","ALZHEIMER'S DISEASE",0.659600694444444
"CD2AP","ALZHEIMER'S DISEASE",0.658480134828159
"IGSF23","ALZHEIMER'S DISEASE",0.655252121110383
"SLC24A4","ALZHEIMER'S DISEASE",0.6542690331462
"CSF1R","ALZHEIMER'S DISEASE",0.647631817472505
"DBN1","ALZHEIMER'S DISEASE",0.639410548122828
"INPP5D","ALZHEIMER'S DISEASE",0.614594030983967
"FRMD4A","ALZHEIMER'S DISEASE",0.59985523163664
"MT-ND1","ALZHEIMER'S DISEASE",0.5775
"EPHA1","ALZHEIMER'S DISEASE",0.577399526601145
"CASS4","ALZHEIMER'S DISEASE",0.572041008018464
"CHRNA2","ALZHEIMER'S DISEASE",0.564417627127067
"OARD1","ALZHEIMER'S DISEASE",0.550288700187894
"TYROBP","ALZHEIMER'S DISEASE",0.514693471447884
"MT-ND2","ALZHEIMER'S DISEASE",0.513814691609977
"CD33","ALZHEIMER'S DISEASE",0.511962328649335
"MAPT","ALZHEIMER'S DISEASE",0.511710475239682
"ECHDC3","ALZHEIMER'S DISEASE",0.511080302490203
"LIPG","ALZHEIMER'S DISEASE",0.506955366854561
"SCIMP","ALZHEIMER'S DISEASE",0.502644350093947
"VCP","ALZHEIMER'S DISEASE",0.502427214443185
"UBE2L3","ALZHEIMER'S DISEASE",0.501865497173764
"UNC5CL","ALZHEIMER'S DISEASE",0.5
"WWC1","ALZHEIMER'S DISEASE",0.472454931611154
"TLN2","ALZHEIMER'S DISEASE",0.47112088954541
"GEMIN7","ALZHEIMER'S DISEASE",0.46091426567289
"EPDR1","ALZHEIMER'S DISEASE",0.45701084101028
"CNTNAP2","ALZHEIMER'S DISEASE",0.455895266836221
"FERMT2","ALZHEIMER'S DISEASE",0.454776282378648
"UNC5C","ALZHEIMER'S DISEASE",0.452578608276644
"PLCG2","ALZHEIMER'S DISEASE",0.447624344242097
"DOCK2","ALZHEIMER'S DISEASE",0.446738888888889
"ABI3","ALZHEIMER'S DISEASE",0.44577467757543
"ATP5F1C","ALZHEIMER'S DISEASE",0.440076444196408
"MTHFD1L","ALZHEIMER'S DISEASE",0.432066477965672
"ADAMTS4","ALZHEIMER'S DISEASE",0.428888700187894
"SLC35C1","ALZHEIMER'S DISEASE",0.423299000144534
"PRIM2","ALZHEIMER'S DISEASE",0.423299000144534
"EED","ALZHEIMER'S DISEASE",0.420004778362933
"HBEGF","ALZHEIMER'S DISEASE",0.4180915325189
"CELF1","ALZHEIMER'S DISEASE",0.417795730602529
"GAB2","ALZHEIMER'S DISEASE",0.41284596282592
"HCK","ALZHEIMER'S DISEASE",0.41105
"ACE","ALZHEIMER'S DISEASE",0.408154419758709
"SCARA3","ALZHEIMER'S DISEASE",0.405776922506472
"AGTR1","ALZHEIMER'S DISEASE",0.403614814814815
"HLA-DRA","ALZHEIMER'S DISEASE",0.40227175472239
"CASTOR3","ALZHEIMER'S DISEASE",0.399020166191183
"CST3","ALZHEIMER'S DISEASE",0.398354376785792
"GJA1","ALZHEIMER'S DISEASE",0.39691026499596
"SNCA","ALZHEIMER'S DISEASE",0.395004969415544
"AQP4","ALZHEIMER'S DISEASE",0.393988221728894
"GABRA2","ALZHEIMER'S DISEASE",0.390251615563036
"ZNF232","ALZHEIMER'S DISEASE",0.389388266435412
"LAMP2","ALZHEIMER'S DISEASE",0.388362719082359
"P2RX7","ALZHEIMER'S DISEASE",0.388326714114665
"ENPP2","ALZHEIMER'S DISEASE",0.387310222622987
"CREBBP","ALZHEIMER'S DISEASE",0.387251986337534
"NDUFAF6","ALZHEIMER'S DISEASE",0.384741949393642
"RFX4","ALZHEIMER'S DISEASE",0.384484434826166
"MT1M","ALZHEIMER'S DISEASE",0.384008390840472
"TUBB4A","ALZHEIMER'S DISEASE",0.383358046215496
"DTL","ALZHEIMER'S DISEASE",0.3829
"HSPA1A","ALZHEIMER'S DISEASE",0.3824656814486
"ZIC2","ALZHEIMER'S DISEASE",0.381460019826999
"GLS","ALZHEIMER'S DISEASE",0.380594259457237
"STIP1","ALZHEIMER'S DISEASE",0.380113138888889
"DOP1A","ALZHEIMER'S DISEASE",0.379576246794503
"KIFAP3","ALZHEIMER'S DISEASE",0.379372360772869
"BSN","ALZHEIMER'S DISEASE",0.378909532400119
"GSTA4","ALZHEIMER'S DISEASE",0.378831129734689
"SCARB1","ALZHEIMER'S DISEASE",0.378785733709122
"EGR2","ALZHEIMER'S DISEASE",0.3787
"ABCC2","ALZHEIMER'S DISEASE",0.3787
"PDGFB","ALZHEIMER'S DISEASE",0.3786
"SLC22A2","ALZHEIMER'S DISEASE",0.3785
"SNAP91","ALZHEIMER'S DISEASE",0.378489936644854
"ACTG1","ALZHEIMER'S DISEASE",0.378207378876145
"ACBD5","ALZHEIMER'S DISEASE",0.378182006399435
"MT1JP","ALZHEIMER'S DISEASE",0.375
"RPS18","ALZHEIMER'S DISEASE",0.375
"MT1P3","ALZHEIMER'S DISEASE",0.375
"LINC02869","ALZHEIMER'S DISEASE",0.375
"FANK1","ALZHEIMER'S DISEASE",0.375
"PCBP2","ALZHEIMER'S DISEASE",0.375
"DGCR6","ALZHEIMER'S DISEASE",0.375
"ACTL9","ALZHEIMER'S DISEASE",0.375
"RPS27","ALZHEIMER'S DISEASE",0.375
"UBE2C","ALZHEIMER'S DISEASE",0.375
"RNASE11","ALZHEIMER'S DISEASE",0.375
"BUB1","ALZHEIMER'S DISEASE",0.375
