"Source","Target","score"
"PSEN1","ALZHEIMER'S DISEASE",1
"ABCA7","ALZHEIMER'S DISEASE",1
"APH1B","ALZHEIMER'S DISEASE",1
"SORL1","ALZHEIMER'S DISEASE",1
"TOMM40","ALZHEIMER'S DISEASE",1
"CR1","ALZHEIMER'S DISEASE",1
"CDK5","ALZHEIMER'S DISEASE",1
"NCSTN","ALZHEIMER'S DISEASE",1
"CAST","ALZHEIMER'S DISEASE",1
"FAAH","ALZHEIMER'S DISEASE",1
"PRDX2","ALZHEIMER'S DISEASE",1
"JUN","ALZHEIMER'S DISEASE",1
"PSENEN","ALZHEIMER'S DISEASE",1
"STAT4","ALZHEIMER'S DISEASE",1
"CDK5R1","ALZHEIMER'S DISEASE",1
"PRDX1","ALZHEIMER'S DISEASE",1
"TRPV1","ALZHEIMER'S DISEASE",1
"MARK4","ALZHEIMER'S DISEASE",1
"LMNA","ALZHEIMER'S DISEASE",1
"CAPN1","ALZHEIMER'S DISEASE",1
"CAPNS1","ALZHEIMER'S DISEASE",1
"APOC1","ALZHEIMER'S DISEASE",1
"APH1A","ALZHEIMER'S DISEASE",1
"LMNB1","ALZHEIMER'S DISEASE",1
"GOLGA2","ALZHEIMER'S DISEASE",1
"GABBR2","ALZHEIMER'S DISEASE",1
"CAPNS2","ALZHEIMER'S DISEASE",1
"CAPN2","ALZHEIMER'S DISEASE",1
"CDC25A","ALZHEIMER'S DISEASE",1
"CDC25C","ALZHEIMER'S DISEASE",1
"CDC25B","ALZHEIMER'S DISEASE",1
"BCAM","ALZHEIMER'S DISEASE",0.986860207414117
"ADAM10","ALZHEIMER'S DISEASE",0.980151960613352
"TREM2","ALZHEIMER'S DISEASE",0.975990639787191
"PICALM","ALZHEIMER'S DISEASE",0.951957684847563
"BACE1","ALZHEIMER'S DISEASE",0.950354783268252
"EXOC3L2","ALZHEIMER'S DISEASE",0.938127364249392
"PILRA","ALZHEIMER'S DISEASE",0.927033680604153
"PPP1R37","ALZHEIMER'S DISEASE",0.924489836950102
"RELB","ALZHEIMER'S DISEASE",0.914466945785934
"PVR","ALZHEIMER'S DISEASE",0.91322168549069
"PTK2B","ALZHEIMER'S DISEASE",0.903973989189416
"CLASRP","ALZHEIMER'S DISEASE",0.892739895470974
"MMP1","ALZHEIMER'S DISEASE",0.884122222222222
"MMP13","ALZHEIMER'S DISEASE",0.882072222222222
"MMP7","ALZHEIMER'S DISEASE",0.880125
"CBLC","ALZHEIMER'S DISEASE",0.880081848950604
"MMP8","ALZHEIMER'S DISEASE",0.875
"MS4A4A","ALZHEIMER'S DISEASE",0.849516793347019
"CLPTM1","ALZHEIMER'S DISEASE",0.849196596061257
"ALDH1A2","ALZHEIMER'S DISEASE",0.814162832803487
"MS4A6A","ALZHEIMER'S DISEASE",0.813834130565089
"BIN1","ALZHEIMER'S DISEASE",0.80934804277365
"NKPD1","ALZHEIMER'S DISEASE",0.788344771233179
"FGFR3","ALZHEIMER'S DISEASE",0.761880349637978
"BCL3","ALZHEIMER'S DISEASE",0.759846459467242
"PDGFRB","ALZHEIMER'S DISEASE",0.757538888888889
"KIT","ALZHEIMER'S DISEASE",0.7536
"PDGFRA","ALZHEIMER'S DISEASE",0.75
"APOC4","ALZHEIMER'S DISEASE",0.742187936681412
"ABCA1","ALZHEIMER'S DISEASE",0.729575678760285
"CEACAM16","ALZHEIMER'S DISEASE",0.726217141842056
"APOC4-APOC2","ALZHEIMER'S DISEASE",0.714247599006223
"ZCWPW1","ALZHEIMER'S DISEASE",0.714185690625097
"CEACAM20","ALZHEIMER'S DISEASE",0.708291045826539
"GRN","ALZHEIMER'S DISEASE",0.701188869104253
"CHRNA9","ALZHEIMER'S DISEASE",0.7
"CHRNA10","ALZHEIMER'S DISEASE",0.7
"MADD","ALZHEIMER'S DISEASE",0.660394444444445
"APOB","ALZHEIMER'S DISEASE",0.659600694444444
"CD2AP","ALZHEIMER'S DISEASE",0.658480134828159
"IGSF23","ALZHEIMER'S DISEASE",0.655252121110383
"SLC24A4","ALZHEIMER'S DISEASE",0.6542690331462
"DBN1","ALZHEIMER'S DISEASE",0.639410548122828
"INPP5D","ALZHEIMER'S DISEASE",0.614594030983967
"FRMD4A","ALZHEIMER'S DISEASE",0.59985523163664
"EPHA1","ALZHEIMER'S DISEASE",0.577399526601145
"CASS4","ALZHEIMER'S DISEASE",0.572041008018464
"CHRNA2","ALZHEIMER'S DISEASE",0.564417627127067
"OARD1","ALZHEIMER'S DISEASE",0.550288700187894
"CD33","ALZHEIMER'S DISEASE",0.511962328649335
"ECHDC3","ALZHEIMER'S DISEASE",0.511080302490203
"LIPG","ALZHEIMER'S DISEASE",0.506955366854561
"SCIMP","ALZHEIMER'S DISEASE",0.502644350093947
"VCP","ALZHEIMER'S DISEASE",0.502427214443185
"UBE2L3","ALZHEIMER'S DISEASE",0.501865497173764
"CACNA1E","ANXIETY DISORDER",1
"HCRTR1","ANXIETY DISORDER",1
"HCRTR2","ANXIETY DISORDER",1
"CACNA1A","ANXIETY DISORDER",1
"CACNA1H","ANXIETY DISORDER",1
"CACNB4","ANXIETY DISORDER",1
"CACNB3","ANXIETY DISORDER",1
"CACNG2","ANXIETY DISORDER",1
"CACNA2D3","ANXIETY DISORDER",1
"CACNA2D4","ANXIETY DISORDER",1
"CACNG8","ANXIETY DISORDER",1
"CACNG6","ANXIETY DISORDER",1
"VAPB","ANXIETY DISORDER",1
"CACNG1","ANXIETY DISORDER",1
"CACNG7","ANXIETY DISORDER",1
"CACNG4","ANXIETY DISORDER",1
"CACNG5","ANXIETY DISORDER",1
"CACNB1","ANXIETY DISORDER",1
"CACNA2D2","ANXIETY DISORDER",1
"CACNA1G","ANXIETY DISORDER",1
"CACNG3","ANXIETY DISORDER",1
"HMBS","ANXIETY DISORDER",0.693975
"OTX2","ANXIETY DISORDER",0.665
"CDK20","ANXIETY DISORDER",0.665
"USH2A","ANXIETY DISORDER",0.665
"CHD8","AUTISM",1
"SLC9A9","AUTISM",1
"PTCHD1","AUTISM",1
"TMLHE","AUTISM",1
"TBR1","AUTISM",1
"MECP2","AUTISM",1
"NLGN3","AUTISM",1
"CNTNAP2","AUTISM",1
"EIF4E","AUTISM",1
"AUTS2","AUTISM",1
"SHANK1","AUTISM",1
