"drug","gene"
"E-7869","PSEN1"
"GSI-953","PSEN1"
"LY450139","PSEN1"
"SEMAGACESTAT","PSEN1"
"Begacestat","PSEN1"
"BMS-708163","PSEN1"
"Avagacestat","PSEN1"
"Tarenflurbil","PSEN1"
"FLURIZAN","PSEN1"
"MPC-7869","PSEN1"
"BMS-708163-01","PSEN1"
"NaN","ABCA7"
"PROBUCOL","ABCA7"
"LORELCO","ABCA7"
"LURSELLE","ABCA7"
"DH-581","ABCA7"
"Sinlestal","ABCA7"
"Bisbid","ABCA7"
"CHEMBL2362986","ABCA7"
"ATP","ABCA7"
"Glyburide","ABCA7"
"Tocofersolan","ABCA7"
"Vitamin E","ABCA7"
"E-7869","APH1B"
"GSI-953","APH1B"
"LY450139","APH1B"
"SEMAGACESTAT","APH1B"
"Begacestat","APH1B"
"BMS-708163","APH1B"
"Avagacestat","APH1B"
"Tarenflurbil","APH1B"
"FLURIZAN","APH1B"
"MPC-7869","APH1B"
"BMS-708163-01","APH1B"
"NaN","SORL1"
"AMA0076","SORL1"
"CHEMBL2111459","SORL1"
"SAR-407899","SORL1"
"Y-39983","SORL1"
"DE-104","SORL1"
"AR-12286","SORL1"
"Verosudil","SORL1"
"AR-13324","SORL1"
"Netarsudil mesylate","SORL1"
"NETARSUDIL DIMESYLATE","SORL1"
"Rhopressa","SORL1"
"AT-13148","SORL1"
"LY2940094","SORL1"
"CHEMBL2014","SORL1"
"Cebranopadol","SORL1"
"GRT6005","SORL1"
"(R)-TRANS-4-(1-AMINOETHYL)-N-(4-PYRIDYL) CYCLOHEXANECARBOXAMIDE","SORL1"
"Fasudil","SORL1"
"Fostamatinib","SORL1"
"Netarsudil","SORL1"
"Ripasudil","SORL1"
"Buprenorphine","SORL1"
"Epicept NP-1","SORL1"
"Etorphine","SORL1"
"Mirococept","CR1"
"APT 070","CR1"
"CHEMBL3713643","CR1"
"BIIB-015","CR1"
"CHEMBL3713025","CR1"
"NaN","CR1"
"NaN","CDK5"
"TLK199","CDK5"
"TELINTRA","CDK5"
"Ezatiostat HCl","CDK5"
"TER199","CDK5"
"EZATIOSTAT HYDROCHLORIDE","CDK5"
"CHEMBL3902","CDK5"
"WYE-103760","CDK5"
"PF-5212377","CDK5"
"PF-05212377","CDK5"
"SAM-760","CDK5"
"CHEMBL3371","CDK5"
"LU AE58054","CDK5"
"IDALOPIRDINE","CDK5"
"WAY-262531","CDK5"
"Cerlapirdine","CDK5"
"SAM-531","CDK5"
"PF-05212365","CDK5"
"Intepirdine","CDK5"
"RVT-101","CDK5"
"SB-742457","CDK5"
"GSK742457","CDK5"
"BAY 73-4506","CDK5"
"STIVARGA","CDK5"
"REGORAFENIB","CDK5"
"BAY-734506 monohydrate","CDK5"
"BAY 73-4506 MONOHYDRATE","CDK5"
"BAY-73-4506","CDK5"
"CHEMBL4223","CDK5"
"LY2940094","CDK5"
"CHEMBL2014","CDK5"
"Cebranopadol","CDK5"
"GRT6005","CDK5"
"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene","CDK5"
"2-(N-Morpholino)-Ethanesulfonic Acid","CDK5"
"Acetaminophen","CDK5"
"alpha-Tocopherol succinate","CDK5"
"Busulfan","CDK5"
"Canfosfamide","CDK5"
"Carbocisteine","CDK5"
"Carboplatin","CDK5"
"Chlorambucil","CDK5"
"Cibacron Blue","CDK5"
"Cisplatin","CDK5"
"Clomipramine","CDK5"
"Clozapine","CDK5"
"Curcumin","CDK5"
"Curcumin sulfate","CDK5"
"D-alpha-Tocopherol acetate","CDK5"
"Deoxycholic Acid","CDK5"
"Dinitrochlorobenzene","CDK5"
"Etacrynic acid","CDK5"
"Etoposide","CDK5"
"Exisulind","CDK5"
"Ezatiostat","CDK5"
"Glutathione","CDK5"
"Glutathione Sulfonic Acid","CDK5"
"Glycerin","CDK5"
"Hypericin","CDK5"
"Oxaliplatin","CDK5"
"S-(4-BROMOBENZYL)CYSTEINE","CDK5"
"S-(P-Nitrobenzyl)Glutathione","CDK5"
"S-Hexylglutathione","CDK5"
"S-Hydroxycysteine","CDK5"
"S-NONYL-CYSTEINE","CDK5"
"Sulfamethoxazole","CDK5"
"Troglitazone","CDK5"
"Vitamin E","CDK5"
"Amitriptyline","CDK5"
"Amoxapine","CDK5"
"Aripiprazole","CDK5"
"Aripiprazole lauroxil","CDK5"
"Asenapine","CDK5"
"Chlorpromazine","CDK5"
"Dihydroergocornine","CDK5"
"Dihydroergocristine","CDK5"
"Dimethyltryptamine","CDK5"
"Doxepin","CDK5"
"Ergoloid mesylate","CDK5"
"Gilteritinib","CDK5"
"Iloperidone","CDK5"
"Imipramine","CDK5"
"Loxapine","CDK5"
"Lysergic acid diethylamide","CDK5"
"Mianserin","CDK5"
"Nortriptyline","CDK5"
"Olanzapine","CDK5"
"PRX-07034","CDK5"
"Quetiapine","CDK5"
"Sertindole","CDK5"
"Setiptiline","CDK5"
"SGS518","CDK5"
"SUVN-502","CDK5"
"Tiapride","CDK5"
"Ziprasidone","CDK5"
"Zotepine","CDK5"
"Dasatinib","CDK5"
"Fostamatinib","CDK5"
"Buprenorphine","CDK5"
"Epicept NP-1","CDK5"
"Etorphine","CDK5"
"AT-7519","CDK5"
"CYC-202","CDK5"
"PHA-793887","CDK5"
"AZD-5438","CDK5"
"Roniciclib","CDK5"
"AL-39256","CDK5"
"BAY-1000394","CDK5"
"MK-7965","CDK5"
"RGB-286638","CDK5"
"DINACICLIB","CDK5"
"SCH-727965","CDK5"
"Seliciclib","CDK5"
"Solian 100","CDK5"
"Solian 400","CDK5"
"Amisulpride","CDK5"
"Zimeldine","CDK5"
"Zimelidine","CDK5"
"Dexfenfluramine","CDK5"
"Solian 200","CDK5"
"SOLIAN 50","CDK5"
"Solian","CDK5"
"Zelmid","CDK5"
"Normud","CDK5"
"ZACTIMA","CDK5"
"Caprelsa","CDK5"
"ZD6474","CDK5"
"ZD-64","CDK5"
"Vandetanib","CDK5"
"GNF-Pf-2188","CDK5"
"L-86-8275","CDK5"
"AG-024322","CDK5"
"KRX-0601","CDK5"
"MDL-107826A","CDK5"
"HL-275","CDK5"
"R-547","CDK5"
"NSC-649890","CDK5"
"TG-02","CDK5"
"L 86 8275","CDK5"
"KW-2401","CDK5"
"L-868275","CDK5"
"HMR-1275","CDK5"
"SNS-032","CDK5"
"UCN-02","CDK5"
"RG-547","CDK5"
"Milciclib","CDK5"
"PHA-848125","CDK5"
"BMS-387032","CDK5"
"AG-24322","CDK5"
"SB-1317","CDK5"
"UCN-01","CDK5"
"Alvocidib","CDK5"
"Flavopiridol","CDK5"
"ILORASERTIB","CDK5"
"ENMD-981693","CDK5"
"ABT-348","CDK5"
"ENMD-2076","CDK5"
"R-440","CDK5"
"XL-228","CDK5"
"A-968660","CDK5"
"ABT-348, A-968660","CDK5"
"BMS-354825","CDK5"
"BMS-354825-03","CDK5"
"Sprycel","CDK5"
"Ro-317453","CDK5"
"MKC-1","CDK5"
"E-7869","NCSTN"
"GSI-953","NCSTN"
"LY450139","NCSTN"
"SEMAGACESTAT","NCSTN"
"Begacestat","NCSTN"
"BMS-708163","NCSTN"
