"Source","Target","score"
"PSEN1","ALZHEIMER'S DISEASE",1
"ABCA7","ALZHEIMER'S DISEASE",1
"APH1B","ALZHEIMER'S DISEASE",1
"TOMM40","ALZHEIMER'S DISEASE",1
"CDK5","ALZHEIMER'S DISEASE",1
"NCSTN","ALZHEIMER'S DISEASE",1
"CAST","ALZHEIMER'S DISEASE",1
"FAAH","ALZHEIMER'S DISEASE",1
"PRDX2","ALZHEIMER'S DISEASE",1
"STAT4","ALZHEIMER'S DISEASE",1
"PRDX1","ALZHEIMER'S DISEASE",1
"MARK4","ALZHEIMER'S DISEASE",1
"CAPN1","ALZHEIMER'S DISEASE",1
"CAPNS1","ALZHEIMER'S DISEASE",1
"APH1A","ALZHEIMER'S DISEASE",1
"GABBR2","ALZHEIMER'S DISEASE",1
"CAPN2","ALZHEIMER'S DISEASE",1
"CDC25A","ALZHEIMER'S DISEASE",1
"CDC25B","ALZHEIMER'S DISEASE",1
"BCAM","ALZHEIMER'S DISEASE",0.986860207414117
"ADAM10","ALZHEIMER'S DISEASE",0.980151960613352
"TREM2","ALZHEIMER'S DISEASE",0.975990639787191
"PICALM","ALZHEIMER'S DISEASE",0.951957684847563
"BACE1","ALZHEIMER'S DISEASE",0.950354783268252
"PTK2B","ALZHEIMER'S DISEASE",0.903973989189416
"CBLC","ALZHEIMER'S DISEASE",0.880081848950604
"CLPTM1","ALZHEIMER'S DISEASE",0.849196596061257
"MS4A6A","ALZHEIMER'S DISEASE",0.813834130565089
"BIN1","ALZHEIMER'S DISEASE",0.80934804277365
"FGFR3","ALZHEIMER'S DISEASE",0.761880349637978
"PDGFRB","ALZHEIMER'S DISEASE",0.757538888888889
"ABCA1","ALZHEIMER'S DISEASE",0.729575678760285
"APOC4-APOC2","ALZHEIMER'S DISEASE",0.714247599006223
"GRN","ALZHEIMER'S DISEASE",0.701188869104253
"CHRNA9","ALZHEIMER'S DISEASE",0.7
"MADD","ALZHEIMER'S DISEASE",0.660394444444445
"APOB","ALZHEIMER'S DISEASE",0.659600694444444
"DBN1","ALZHEIMER'S DISEASE",0.639410548122828
"INPP5D","ALZHEIMER'S DISEASE",0.614594030983967
"EPHA1","ALZHEIMER'S DISEASE",0.577399526601145
"CHRNA2","ALZHEIMER'S DISEASE",0.564417627127067
"OARD1","ALZHEIMER'S DISEASE",0.550288700187894
"CD33","ALZHEIMER'S DISEASE",0.511962328649335
"CACNA1E","ANXIETY DISORDER",1
"HCRTR1","ANXIETY DISORDER",1
"CACNA1A","ANXIETY DISORDER",1
"CACNA1H","ANXIETY DISORDER",1
"CACNB3","ANXIETY DISORDER",1
"CACNG2","ANXIETY DISORDER",1
"CACNA2D3","ANXIETY DISORDER",1
"CACNG1","ANXIETY DISORDER",1
"CACNG4","ANXIETY DISORDER",1
"CACNG5","ANXIETY DISORDER",1
"CACNB1","ANXIETY DISORDER",1
"CACNA2D2","ANXIETY DISORDER",1
"CACNG3","ANXIETY DISORDER",1
"CDK20","ANXIETY DISORDER",0.665
"CHD8","AUTISM",1
"TBR1","AUTISM",1
"MECP2","AUTISM",1
"AUTS2","AUTISM",1
"SHANK1","AUTISM",1
"NRXN3","AUTISM",1
"NRXN2","AUTISM",1
"SCTR","AUTISM",0.952777777777778
"IQSEC2","AUTISM",0.681388888888889
"SLC9A6","AUTISM",0.678247865221088
"TMCO1","AUTISM",0.665
"FGF14","AUTISM",0.665
"PDE4A","BIPOLAR DISORDER",1
"PDE2A","BIPOLAR DISORDER",1
"PDE9A","BIPOLAR DISORDER",1
"PDE6G","BIPOLAR DISORDER",1
"PDE1C","BIPOLAR DISORDER",1
"PDE6B","BIPOLAR DISORDER",1
"ALOX5AP","BIPOLAR DISORDER",1
"PDE6A","BIPOLAR DISORDER",1
"PDE1B","BIPOLAR DISORDER",1
"PDE1A","BIPOLAR DISORDER",1
"PDE8B","BIPOLAR DISORDER",1
"SLC29A1","BIPOLAR DISORDER",1
"PDE8A","BIPOLAR DISORDER",1
"FADS2","BIPOLAR DISORDER",0.599211695980177
"NCAN","BIPOLAR DISORDER",0.552443336914705
"SYNE1","BIPOLAR DISORDER",0.541468979011985
"FADS1","BIPOLAR DISORDER",0.524031415152992
"NOTCH3","DEMENTIA",1
"PRNP","DEMENTIA",1
"SNCB","DEMENTIA",0.626163119668444
"FAN1","HUNTINGTON DISEASE",0.6209
"ATP13A2","PARKINSON'S DISEASE",1
"PARK7","PARKINSON'S DISEASE",1
"PINK1","PARKINSON'S DISEASE",1
"FBXO7","PARKINSON'S DISEASE",1
"VPS13C","PARKINSON'S DISEASE",1
"UCHL1","PARKINSON'S DISEASE",1
"HTRA2","PARKINSON'S DISEASE",1
"AVPR1B","PARKINSON'S DISEASE",1
"EIF4G1","PARKINSON'S DISEASE",1
"AVPR2","PARKINSON'S DISEASE",1
"HRH3","PARKINSON'S DISEASE",0.889074651943185
"RIT2","PARKINSON'S DISEASE",0.86857072222529
"INPP5F","PARKINSON'S DISEASE",0.784311016760614
"ADORA3","PARKINSON'S DISEASE",0.772222222222222
"ADORA2B","PARKINSON'S DISEASE",0.772222222222222
"GAK","PARKINSON'S DISEASE",0.749906972254917
"POLE3","PARKINSON'S DISEASE",0.7
"POLA1","PARKINSON'S DISEASE",0.7
"NSF","PARKINSON'S DISEASE",0.699075762107709
"SH3GL2","PARKINSON'S DISEASE",0.655199450858075
"CNTN1","PARKINSON'S DISEASE",0.65
"SNCAIP","PARKINSON'S DISEASE",0.641738418738438
"BCKDK","PARKINSON'S DISEASE",0.639383191807587
"DGKQ","PARKINSON'S DISEASE",0.620260996878027
"HLA-DRA","PARKINSON'S DISEASE",0.570099929228174
"SLC1A1","SCHIZOPHRENIA",1
"PRODH","SCHIZOPHRENIA",1
"GRM3","SCHIZOPHRENIA",1
"SLC6A9","SCHIZOPHRENIA",1
"GRM2","SCHIZOPHRENIA",1
"CHI3L1","SCHIZOPHRENIA",1
"IL6R","SCHIZOPHRENIA",1
"NT5C2","SCHIZOPHRENIA",1
"ATP4A","SCHIZOPHRENIA",1
"NISCH","SCHIZOPHRENIA",1
"SETD1A","SCHIZOPHRENIA",0.989480138479466
"NRGN","SCHIZOPHRENIA",0.967065712078847
"RXRB","SCHIZOPHRENIA",0.964263888888889
