"Drug","Gene","Disease"
"ZANTHINE","ADORA2B","PARKINSON'S DISEASE"
"Coffeine","ADORA2B","PARKINSON'S DISEASE"
"Methyltheobromine","ADORA3","PARKINSON'S DISEASE"
"Theoclear-200","ADORA3","PARKINSON'S DISEASE"
"Theobid","ADORA3","PARKINSON'S DISEASE"
"NUELIN SA-250","ADORA3","PARKINSON'S DISEASE"
"Pro-Vent","ADORA3","PARKINSON'S DISEASE"
"QUIBRON-T/SR","ADORA3","PARKINSON'S DISEASE"
"T-Phyl","ADORA3","PARKINSON'S DISEASE"
"NODOZ CAPLETS AND CHEWABLE TABLETS","ADORA3","PARKINSON'S DISEASE"
"GSK2190915B","ALOX5AP","BIPOLAR DISORDER"
"CHEMBL4550","ALOX5AP","BIPOLAR DISORDER"
"FIBOFLAPON SODIUM","ALOX5AP","BIPOLAR DISORDER"
"Sodium Salt","ALOX5AP","BIPOLAR DISORDER"
"GSK2190915A","ALOX5AP","BIPOLAR DISORDER"
"AM103","ALOX5AP","BIPOLAR DISORDER"
"DG031","ALOX5AP","BIPOLAR DISORDER"
"UCINE","ALOX5AP","BIPOLAR DISORDER"
"MESALAMINE","ALOX5AP","BIPOLAR DISORDER"
"Asacol","ALOX5AP","BIPOLAR DISORDER"
"Zileuton","ALOX5AP","BIPOLAR DISORDER"
"Colizine","ALOX5AP","BIPOLAR DISORDER"
"ROWASA","ALOX5AP","BIPOLAR DISORDER"
"A-85761.0","ALOX5AP","BIPOLAR DISORDER"
"PENTASA","ALOX5AP","BIPOLAR DISORDER"
"SALAZOSULFAPYRIDINE","ALOX5AP","BIPOLAR DISORDER"
"ABBOTT-85761","ALOX5AP","BIPOLAR DISORDER"
"MESREN MR","ALOX5AP","BIPOLAR DISORDER"
"Meclofenamate","ALOX5AP","BIPOLAR DISORDER"
"SALAZOPYRIN-EN","ALOX5AP","BIPOLAR DISORDER"
"CANASA","ALOX5AP","BIPOLAR DISORDER"
"INF-4668","ALOX5AP","BIPOLAR DISORDER"
"A-85761","ALOX5AP","BIPOLAR DISORDER"
