"Orphanet_308487","Generalized galactose epimerase deficiency",1
"Orphanet_263487","COG5-CDG",15
"Orphanet_93360","Spondyloepimetaphyseal dysplasia with multiple dislocations",3
"Orphanet_206564","Autosomal recessive limb-girdle muscular dystrophy type 2O",106
"Orphanet_588","Muscle-eye-brain disease",164
"MONDO_0060720","congenital disorder of glycosylation with defective fucosylation",1
"Orphanet_371235","Congenital disorder of glycosylation with developmental anomaly",1533
"Orphanet_79281","Alpha-N-acetylgalactosaminidase deficiency type 3",432
"Orphanet_351","Galactosialidosis",19
"Orphanet_79246","Pyruvate dehydrogenase phosphatase deficiency",12
"Orphanet_579","Mucopolysaccharidosis type 1",95
"MONDO_0018605","disorders of pentose/polyol metabolism",292
"Orphanet_2843","Pentosuria",92
"Orphanet_79316","Phosphoenolpyruvate carboxykinase 1 deficiency",4
"EFO_0004211","Hypertriglyceridemia",467
"MONDO_0000461","nutritional biotin deficiency",42
"Orphanet_268184","Thiamine-responsive maple syrup urine disease",11
"Orphanet_268173","Intermittent maple syrup urine disease",12
"Orphanet_79351","3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form",14
"Orphanet_2168","Homocarnosinosis",143
"Orphanet_79156","Seizures - intellectual disability due to hydroxylysinuria",2
"Orphanet_352745","Oculocutaneous albinism type 7",5
"Orphanet_352731","Oculocutaneous albinism type 1",41
"Orphanet_352734","Minimal pigment oculocutaneous albinism type 1",1
"Orphanet_167","Chédiak-Higashi syndrome",314
"Orphanet_289869","Disorder of ornithine metabolism",19
"Orphanet_284818","Disorder of tyrosine metabolism",159
"Orphanet_3402","Transient tyrosinemia of the newborn",0
"Orphanet_352328","MEGDEL syndrome",44
"Orphanet_289902","3-methylglutaconic aciduria",763
"Orphanet_79159","Isobutyryl-CoA dehydrogenase deficiency",17
"Orphanet_90045","Hereditary folate malabsorption",28
"Orphanet_254881","Spinocerebellar ataxia with epilepsy",14
"Orphanet_85282","MEHMO syndrome",155
"Orphanet_309152","GM2 gangliosidosis",75
"Orphanet_845","Tay-Sachs disease",37
"Orphanet_309185","Tay-Sachs disease, B variant, juvenile form",0
"MONDO_0016399","amino acid or protein metabolism disease with epilepsy",537
"Orphanet_565","Menkes disease",228
"Orphanet_44","Neonatal adrenoleukodystrophy",157
"Orphanet_217031","Obesity due to MC3R deficiency",309
"Orphanet_397615","Obesity due to CEP19 deficiency",225
"EFO_0009025","Bardet-Biedl syndrome 5",6
"Orphanet_437","Hypophosphatemic rickets",203
"MONDO_0000044","hereditary hypophosphatemic rickets",184
"Orphanet_298644","Disorder of thiamine metabolism and transport",363
"EFO_1001009","kwashiorkor",56
"EFO_0004215","anorexia nervosa",264
"MONDO_0029140","glycosylphosphatidylinositol biosynthesis defect 18",1
"MONDO_0060724","glycosylphosphatidylinositol biosynthesis defect 17",1
"Orphanet_325511","46,XY disorder of sex development due to cholesterol synthesis defect",88
"Orphanet_35173","X-linked dominant chondrodysplasia punctata",94
"MONDO_0024306","acquired lactic acidosis",1
"Orphanet_324713","Hereditary cerebral hemorrhage with amyloidosis, Italian type",1
"Orphanet_93560","Familial renal amyloidosis due to Apolipoprotein AI variant",2
"EFO_1000969","hyperamylasemia",38
"Orphanet_397725","COASY protein-associated neurodegeneration",63
"Orphanet_48818","Aceruloplasminemia",85
"MONDO_0018242","autoimmune hypoparathyroidism (disease)",138
"MONDO_0021311","malignant tumor of parathyroid gland",241
"Orphanet_276525","Familial hyperinsulinism",497
"Orphanet_1667","Wolcott-Rallison syndrome",57
"Orphanet_66518","Short fifth metacarpals - insulin resistance",0
"Orphanet_228429","Generalized congenital lipodystrophy with myopathy",117
"EFO_0009073","methylmalonic aciduria (cobalamin deficiency) cblA type",26
"Orphanet_79085","Familial partial lipodystrophy due to AKT2 mutations",0
"MONDO_0013572","Keppen-Lubinsky syndrome",1
"Orphanet_760","Purine nucleoside phosphorylase deficiency",48
"Orphanet_1187","Lethal ataxia with deafness and optic atrophy",110
"Orphanet_45","Adenosine monophosphate deaminase deficiency",17
"MONDO_0002408","hereditary hyperbilirubinemia",261
"Orphanet_205","Crigler-Najjar syndrome",107
"Orphanet_65682","Benign recurrent intrahepatic cholestasis",116
"Orphanet_254875","Mitochondrial DNA depletion syndrome, myopathic form",61
"Orphanet_94124","Spinocerebellar ataxia type 1 with axonal neuropathy",93
"EFO_0009055","RIDDLE syndrome",5
"Orphanet_681","Hypokalemic periodic paralysis",152
"Orphanet_199326","Isolated autosomal dominant hypomagnesemia, Glaudemans type",0
"Orphanet_2196","Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement",40
"Orphanet_98907","Dorfman-Chanarin disease",30
"Orphanet_363429","Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome",15
"Orphanet_254803","Mitochondrial DNA depletion syndrome, encephalomyopathic form",161
"Orphanet_1460","Isolated CoQ-cytochrome C reductase deficiency",353
"Orphanet_254830","Mitochondrial substrate carrier disorder",591
"Orphanet_254920","Combined oxidative phosphorylation defect type 2",170
"Orphanet_391351","SURF1-related Charcot-Marie-Tooth disease type 4",143
"Orphanet_171848","Polyneuropathy - hearing loss - ataxia - retinitis pigmentosa - cataract",16
"Orphanet_247651","Infantile hypophosphatasia",135
