external_gene_id,Module.name,kME.CD1.turquoise,kME.CD2.blue,kME.CD3.brown,kME.CD4.yellow,kME.CD5.green,kME.CD6.red,kME.CD7.black,kME.CD8.pink,kME.CD9.magenta,kME.CD10.purple,kME.CD11.greenyellow,kME.CD12.tan,kME.CD13.salmon
TSPAN6,CD4,"-0,329799515","-0,110217525","0,234771034","0,684263502","-0,163689757","-0,141687455","0,199848533","-0,186242728","-0,0583327","-0,311405899","0,201302291","0,220603454","-0,352325492"
TNMD,CD2,"-0,031206039","0,471168171","-0,250774266","-0,057112596","-0,21127495","0,356287971","-0,338886154","0,215466269","-0,074592949","-0,113427512","-0,003782434","0,176247183","-0,108595935"
DPM1,CD5,"-0,058896416","-0,456117277","0,094195458","-0,257680554","0,750347006","-0,503860965","0,675626152","-0,557883234","-0,387057999","0,467640285","-0,087623309","-0,193641764","0,422148376"
SCYL3,CD0,"0,024192057","-0,316035789","0,181391512","-0,050285256","0,350015192","-0,290202805","0,388906947","-0,244753614","-0,093104036","0,259099785","0,037452862","0,001490423","0,18680184"
C1orf112,CD0,"-0,108169053","-0,114224683","0,229429258","0,063340781","-0,041988849","-0,042591911","0,120520091","-0,069595473","0,051967726","-0,005865313","0,226321543","0,033342362","-0,125350743"
FGR,CD0,"-0,140986501","0,295907986","0,041978028","0,248397855","-0,422741041","0,245181579","-0,268277612","0,181690501","0,195937425","-0,337893218","0,325605356","0,375353726","-0,348064489"
CFH,CD12,"-0,136657269","0,014820885","-0,00045316","0,21900397","-0,189045068","0,085367832","-0,05558403","0,054623632","0,064568439","-0,225703554","0,330155931","0,686517703","-0,219794063"
GCLC,CD3,"-0,419421782","-0,390074764","0,70087029","0,247947185","0,193285696","-0,448841925","0,626262203","-0,545319631","-0,164713998","-0,056512008","0,157806005","-0,138984183","-0,169816433"
NFYA,CD0,"-0,01261718","-0,293471435","0,34079552","0,217547711","0,034022481","-0,186313362","0,256348509","-0,092608642","0,179906156","0,003191903","0,048456746","-0,101434397","-0,05649771"
NIPAL3,CD3,"0,019474012","-0,332394293","0,557262415","-0,153453763","0,145751467","-0,261212211","0,319217151","-0,210865492","0,173037176","0,182906711","-0,031703479","-0,270023177","0,088494092"
LAS1L,CD9,"0,169522012","0,048249455","0,140139276","0,086218962","-0,249574587","0,143814956","-0,169115917","0,283781343","0,444153178","-0,045849644","0,015648505","0,113026184","-0,157065271"
ENPP4,CD7,"-0,287969034","-0,47301662","0,631617596","-0,025804644","0,438561195","-0,492418761","0,742832176","-0,578545532","-0,232982491","0,123917651","-0,019325227","-0,245169574","0,091867615"
SEMA3F,CD0,"0,095478643","0,28903436","-0,185923054","0,088119107","-0,229844125","0,288337014","-0,312135956","0,285662322","0,194743843","-0,124842398","0,086179475","0,119612268","-0,069616402"
CFTR,CD0,"-0,071791628","0,273635388","0,095877525","-0,029854276","-0,277295338","0,395600371","-0,243524566","0,251983871","0,076050924","-0,125047567","0,036334676","0,078133355","-0,242419388"
CYP51A1,CD7,"-0,232125358","-0,152173476","0,152532335","0,027624993","0,349087147","-0,268375646","0,468501237","-0,376617939","-0,330934128","0,018776778","-0,161170066","-0,059067954","0,087873198"
RAD52,CD0,"-0,019282393","-0,009219641","0,129424717","0,091475987","-0,142830232","0,036483112","-0,049881475","0,062226031","0,153643574","-0,081402105","0,000725776","0,037094756","-0,102661134"
BAD,CD1,"0,581139509","-0,046987903","-0,168010426","-0,298435305","0,17344018","0,142066577","-0,165241292","0,391679952","0,344238813","0,527863003","-0,066442621","8,03E-05","0,298845306"
LAP3,CD3,"-0,38134976","-0,380478793","0,486282244","0,383416691","0,170900654","-0,303330392","0,529286702","-0,407122532","-0,108748034","-0,048638283","0,372438865","-0,009576299","-0,221710846"
CD99,CD4,"-0,331013634","-0,061599803","0,365740451","0,73280187","-0,397109158","-0,005186959","0,053160071","-0,029761002","0,234045","-0,414394615","0,438414571","0,145417496","-0,570481669"
HS3ST1,CD0,"0,202509219","-0,221155389","-0,083900117","-0,254650243","0,289864514","-0,056988417","0,110744427","0,023691699","0,009308278","0,280686039","-0,029829459","0,035356835","0,31589301"
AOC1,CD2,"-0,069129428","0,450505661","-0,125385465","-0,065943593","-0,274796191","0,334737741","-0,326984233","0,216970217","0,004654084","-0,166154664","-0,003948156","0,091685324","-0,204804358"
WNT16,CD0,"-0,076409466","0,331144348","-0,098468909","0,03229992","-0,132380621","0,165008988","-0,149015327","0,096116313","-0,043490598","-0,089065679","0,024614899","0,000770682","-0,11007338"
HECW1,CD13,"0,475627457","-0,267444243","-0,386541703","-0,368140944","0,518173952","-0,202601632","0,115936054","0,003429315","-0,047614228","0,50216221","-0,349628842","-0,16276514","0,710365269"
MAD1L1,CD1,"0,558849867","-0,209933038","-0,028633729","-0,146621796","0,165191334","0,036507152","-0,068950339","0,327990974","0,439735081","0,443764174","-0,170863512","-0,052151446","0,332466902"
LASP1,CD0,"0,324357869","-0,075491892","-0,29703119","0,024587828","0,13477889","0,001981813","-0,014100405","0,179096154","0,123008201","0,107617846","-0,057721614","0,108526145","0,244041968"
SNX11,CD0,"0,187218707","-0,123783227","0,084567026","-0,075022347","0,10875196","-0,139567045","0,11226761","-0,012009679","0,202292728","0,217813486","0,006950622","-0,127248644","0,148124735"
TMEM176A,CD4,"-0,289338092","0,095580582","0,227540563","0,643397018","-0,409158868","-0,011773829","-0,041217017","-0,028211701","0,165629482","-0,446703675","0,314790458","0,028674828","-0,499454735"
M6PR,CD0,"0,210947295","-0,33221645","0,030429044","-0,06859232","0,271908737","-0,150741764","0,223859782","-0,070430354","0,106641125","0,351414271","0,132410747","-0,097650548","0,25623003"
CYP26B1,CD0,"0,43436848","-0,208389604","-0,215571481","-0,355256409","0,405854177","-0,161878374","0,088913421","0,030183416","0,032138867","0,441564515","-0,234338289","-0,089703598","0,518545653"
ICA1,CD0,"0,571551185","-0,20103234","-0,361795728","-0,421678514","0,439027944","-0,122229795","0,008684607","0,112033769","0,073042207","0,591492757","-0,296069015","-0,018931032","0,646175092"
DBNDD1,CD1,"0,461450493","0,105471327","-0,430962931","-0,249392538","0,064731062","0,205042976","-0,309857491","0,39308315","0,139723476","0,222288818","-0,245723358","0,157674911","0,319916456"
CASP10,CD2,"-0,098637451","0,486688112","-0,124956422","-0,066742212","-0,300855492","0,301919715","-0,340750815","0,16862618","-0,04724655","-0,184346492","0,168018855","0,23335509","-0,212101903"
CFLAR,CD3,"-0,398473459","-0,019968898","0,421079987","0,351741261","-0,306824076","-0,040491254","0,081669391","-0,17983707","0,034915563","-0,378470296","0,307978642","0,116944662","-0,454807997"
TFPI,CD0,"-0,094101084","-0,009282191","-0,030243862","0,240611452","-0,176039415","0,070391182","-0,070389655","0,070787651","0,08948908","-0,204362945","0,27863716","0,515954499","-0,200821431"
NDUFAF7,CD0,"0,119088626","-0,39090215","0,014301679","-0,180700702","0,45527044","-0,329327231","0,38386285","-0,25225406","-0,089558746","0,332451085","-0,05151779","-0,083907945","0,363918543"
RBM5,CD0,"0,134598338","-0,206957659","0,369716606","0,044638747","-0,048201569","-0,237976895","0,11694694","-0,01599058","0,402390148","0,094043161","0,001505451","-0,075721068","-0,054271446"
MTMR7,CD0,"0,008036212","-0,212807318","0,008586948","-0,334072269","0,497804725","-0,28128773","0,391023842","-0,316678557","-0,335153203","0,329377356","-0,054438556","-0,062307998","0,32294323"
SLC7A2,CD4,"-0,333440259","-0,004960566","0,239234297","0,688488664","-0,371725608","0,022372369","0,025832355","-0,035461656","0,126986416","-0,455836132","0,300311427","0,175937231","-0,455661743"
