"Source","Target"
"TLK199","CDK5"
"TELINTRA","CDK5"
"Ezatiostat HCl","CDK5"
"TER199","CDK5"
"EZATIOSTAT HYDROCHLORIDE","CDK5"
"CHEMBL3902","CDK5"
"WYE-103760","CDK5"
"PF-5212377","CDK5"
"SAM-760","CDK5"
"CHEMBL3371","CDK5"
"LU AE58054","CDK5"
"WAY-262531","CDK5"
"Cerlapirdine","CDK5"
"SAM-531","CDK5"
"PF-05212365","CDK5"
"Intepirdine","CDK5"
"RVT-101","CDK5"
"SB-742457","CDK5"
"GSK742457","CDK5"
"CHEMBL4223","CDK5"
"CHEMBL2014","CDK5"
"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene","CDK5"
"2-(N-Morpholino)-Ethanesulfonic Acid","CDK5"
"alpha-Tocopherol succinate","CDK5"
"Busulfan","CDK5"
"Canfosfamide","CDK5"
"Carbocisteine","CDK5"
"Carboplatin","CDK5"
"Chlorambucil","CDK5"
"Cibacron Blue","CDK5"
"Cisplatin","CDK5"
"Clozapine","CDK5"
"Curcumin","CDK5"
"Curcumin sulfate","CDK5"
"D-alpha-Tocopherol acetate","CDK5"
"Dinitrochlorobenzene","CDK5"
"Ezatiostat","CDK5"
"Glutathione","CDK5"
"Glutathione Sulfonic Acid","CDK5"
"Glycerin","CDK5"
"Hypericin","CDK5"
"Oxaliplatin","CDK5"
"S-(4-BROMOBENZYL)CYSTEINE","CDK5"
"S-(P-Nitrobenzyl)Glutathione","CDK5"
"S-Hexylglutathione","CDK5"
"S-Hydroxycysteine","CDK5"
"S-NONYL-CYSTEINE","CDK5"
"Sulfamethoxazole","CDK5"
"Amoxapine","CDK5"
"Aripiprazole","CDK5"
"Aripiprazole lauroxil","CDK5"
"Asenapine","CDK5"
"Dihydroergocornine","CDK5"
"Dihydroergocristine","CDK5"
"Dimethyltryptamine","CDK5"
"Ergoloid mesylate","CDK5"
"Iloperidone","CDK5"
"Lysergic acid diethylamide","CDK5"
"PRX-07034","CDK5"
"Quetiapine","CDK5"
"Sertindole","CDK5"
"Setiptiline","CDK5"
"SGS518","CDK5"
"SUVN-502","CDK5"
"Tiapride","CDK5"
"Ziprasidone","CDK5"
"Buprenorphine","CDK5"
"Solian 100","CDK5"
"Solian 400","CDK5"
"Amisulpride","CDK5"
"Zimeldine","CDK5"
"Zimelidine","CDK5"
"Dexfenfluramine","CDK5"
"Solian 200","CDK5"
"SOLIAN 50","CDK5"
"Solian","CDK5"
"Zelmid","CDK5"
"Normud","CDK5"
"ONO-4819","CAST"
"Rivenprost","CAST"
"CHEMBL1836","CAST"
"Cytotec","CAST"
"Mysodelle","CAST"
"Topogyne","CAST"
"CHEMBL3710","CAST"
"YTTRIUM Y 90 TACATUZUMAB TETRAXETAN","CAST"
"YTTRIUM (90Y) TACATUZUMAB TETRAXETAN","CAST"
"Afp-Cide","CAST"
"HAFP-31","CAST"
"CHEMBL3712864","CAST"
"Castor oil","CAST"
"Dinoprostone","CAST"
"Grapiprant","CAST"
"Limaprost","CAST"
"Bimatoprost","CAST"
"Gemeprost","CAST"
"Prostin E2","CAST"
"CERVIDIL","CAST"
"DINOPROSTONE BETA-CYCLODEXTRIN CLATHRATE","CAST"
"Propess","CAST"
"U-12062","CAST"
"PREPIDIL","CAST"
"U-12,062","CAST"
"Medised Plain","FAAH"
"DISPROL INFANT","FAAH"
"Medinol For Children","FAAH"
"Calpol Six Plus Fastmelts","FAAH"
"MEDINOL OVER 6","FAAH"
"Disprol","FAAH"
"Hedex","FAAH"
"Panadol","FAAH"
"Fennings","FAAH"
"Panadol Advan","FAAH"
"Paramin","FAAH"
"PANADOL ACTIFAST SOLB","FAAH"
"Abdine","FAAH"
"Panadol Jnr","FAAH"
"GALPAMOL","FAAH"
"Tylenol","FAAH"
"Calpol Six Plus","FAAH"
"Perfalgan","FAAH"
"TRAMIL 500","FAAH"
"INJECTAPAP","FAAH"
"Panaleve 6 Plus","FAAH"
"JUNIOR PARAPAED","FAAH"
"CHEMBL2243","FAAH"
"CHEMBL3989384","FAAH"
"1-DODECANOL","FAAH"
"4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid","FAAH"
"4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid","FAAH"
"Methoxy arachidonyl fluorophosphonate","FAAH"
"Propofol","FAAH"
"CHEMBL2364170","STAT4"
"ALBUFERON","STAT4"
"Albinterferon Alfa-2B","STAT4"
"Peginterferon alfa-2b","STAT4"
"Alferon LDO","STAT4"
"Alferon N Gel","STAT4"
"Alferon N Injection","STAT4"
"INTERFERON ALFA-N3","STAT4"
"Leukocyte Interferon","STAT4"
"PEGINTERFERON BETA-1A","STAT4"
"BIIB017","STAT4"
"Betaseron","STAT4"
"Interferon beta-1b","STAT4"
"Extavia","STAT4"
"INFERGEN","STAT4"
"Interferon alfacon-1","STAT4"
"Neoferon","STAT4"
"RO 22-8181","STAT4"
"INTERFERON ALFA-2A (GENETICAL RECOMBINATION)","STAT4"
"INTERFERON ALFA-2A","STAT4"
"CHEMBL1957","STAT4"
"Ro-4858696000","STAT4"
"MECASERMIN RECOMBINANT","STAT4"
"INCRELEX","STAT4"
"INSM-18","STAT4"
"FIGITUMUMAB","STAT4"
"IPLEX","STAT4"
"MECASERMIN RINFABATE","STAT4"
"MECASERMIN RINFABATE RECOMBINANT","STAT4"
"RHIGF-I/RHIGFBP-3","STAT4"
"SOMATOKINE","STAT4"
"BIIB-022","STAT4"
"AEW-541","STAT4"
"NVP-AEW541","STAT4"
"INTERFERON GAMMA","STAT4"
"Interferon Gamma-1B","STAT4"
"INTERFERON GAMMA-2A","STAT4"
"Immukin","STAT4"
"Actimmune","STAT4"
"CHEMBL2364171","STAT4"
"CHEMBL2782","STAT4"
"GUSELKUMAB","STAT4"
"Tremfya","STAT4"
"CNTO 1959","STAT4"
"CHEMBL3580502","STAT4"
"MEDI2070","STAT4"
"AMG-139","STAT4"
"BRAZIKUMAB","STAT4"
"TILDRAKIZUMAB","STAT4"
"PEG-IL-29","STAT4"
"PEGINTERFERON LAMBDA-1A","STAT4"
"PEG-RIL-29","STAT4"
"CHEMBL3831284","STAT4"
"Cenicriviroc","STAT4"
"TBR-652","STAT4"
"TAK-652","STAT4"
"CHEMBL4015","STAT4"
"CCX-140","STAT4"
"MLN1202","STAT4"
"PLOZALIZUMAB","STAT4"
"hu1D9","STAT4"
"AZD2423","STAT4"
"PF-04634817","STAT4"
"BEACITA","STAT4"
"XENICAL","STAT4"
"Lipstatin","STAT4"
"CHEMBL1812","STAT4"
"Interferon alfa","STAT4"
"Interferon Alfa-2a, Recombinant","STAT4"
"Interferon alfa-n1","STAT4"
"omega interferon","STAT4"
"(4Z)-6-bromo-4-({[4-(pyrrolidin-1-ylmethyl)phenyl]amino}methylidene)isoquinoline-1,3(2H,4H)-dione","STAT4"
"3-[5-(1H-IMIDAZOL-1-YL)-7-METHYL-1H-BENZIMIDAZOL-2-YL]-4-[(PYRIDIN-2-YLMETHYL)AMINO]PYRIDIN-2(1H)-ONE","STAT4"
"ATL1101","STAT4"
"Insulin Aspart","STAT4"
"Insulin Degludec","STAT4"
"Insulin glargine","STAT4"
"Insulin Lispro","STAT4"
"Insulin Pork","STAT4"
"rhIGFBP-3","STAT4"
"Somatrem","STAT4"
"Ezetimibe","STAT4"
"Hesperetin","STAT4"
"Omega-3-acid ethyl esters","STAT4"
"Briakinumab","STAT4"
"Risankizumab","STAT4"
"Ustekinumab","STAT4"
"CCX915","STAT4"
"INCB3284","STAT4"
"(Hydroxyethyloxy)Tri(Ethyloxy)Octane","STAT4"
"B-nonylglucoside","STAT4"
"Cetilistat","STAT4"
"Glycerol phenylbutyrate","STAT4"
"METHOXYUNDECYLPHOSPHINIC ACID","STAT4"
"MEDI-546","STAT4"
"ANIFROLUMAB","STAT4"
"ABT-874","STAT4"
"J-695","STAT4"
"LU-415977","STAT4"
"Ozespa","STAT4"
"WAY-165772","STAT4"
"BSF-415977","STAT4"
"A-796874.0","STAT4"
"GSK1363089","STAT4"
"GSK-089","STAT4"
"Regranex","STAT4"
"Lesogaberan","GABBR2"
"AZD-3355","GABBR2"
"CHEMBL5034","GABBR2"
"ARBACLOFEN PLACARBIL","GABBR2"
"XP19986","GABBR2"
"CHEMBL2111463","GABBR2"
"Arbaclofen","GABBR2"
"STX209","GABBR2"
"WY-3478","GABBR2"
"XYREM","GABBR2"
"Sodium oxybate","GABBR2"
"KEMSTRO","GABBR2"
"LIORESAL INTRATH","GABBR2"
"BA-34,647","GABBR2"
"Lioresal","GABBR2"
"GABLOFEN","GABBR2"
"Baclofen","GABBR2"
"BACLOSPAS-10","GABBR2"
"LYFLEX","GABBR2"
"BA-34647","GABBR2"
"gamma-Aminobutyric acid","GABBR2"
"SGS-742","GABBR2"
"Progabide","GABBR2"
"Tezampanel","GABBR2"
"Vigabatrin","GABBR2"
"Oxybate","GABBR2"
"SGI-1776","CDC25A"
"CHEMBL3559682","CDC25A"
"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile","CDC25A"
"(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One","CDC25A"
"(4R)-7,8-dichloro-1',9-dimethyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","CDC25A"
"(4R)-7-chloro-9-methyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","CDC25A"
"2,3-diphenyl-1H-indole-7-carboxylic acid","CDC25A"
"3,4-Dihydroxy-1-Methylquinolin-2(1h)-One","CDC25A"
"4-(4-hydroxy-3-methylphenyl)-6-phenylpyrimidin-2(5H)-one","CDC25A"
"4-[3-(4-chlorophenyl)-2,1-benzisoxazol-5-yl]pyrimidin-2-amine","CDC25A"
"5,7-DIHYDROXY-2-(3,4,5-TRIHYDROXYPHENYL)-4H-CHROMEN-4-ONE","CDC25A"
"6-(5-BROMO-2-HYDROXYPHENYL)-2-OXO-4-PHENYL-1,2-DIHYDROPYRIDINE-3-CARBONITRILE","CDC25A"
"Adenosine phosphate","CDC25A"
"Imidazole","CDC25A"
"IMIDAZOPYRIDAZIN 1","CDC25A"
"LY-294002","CDC25A"
"N-cyclohexyl-3-[3-(trifluoromethyl)phenyl][1,2,4]triazolo[4,3-b]pyridazin-6-amine","CDC25A"
"N-phenyl-1H-pyrrolo[2,3-b]pyridin-3-amine","CDC25A"
"S,S-(2-Hydroxyethyl)Thiocysteine","CDC25A"
"TOZASERTIB","CDC25B"
"Alisertib","CDC25B"
"MLN-8237","CDC25B"
"MLN-8054","CDC25B"
"AMG-900","CDC25B"
"ABX-MA1","BCAM"
