"Id","Label","Class"
"TLK199","TLK199","DRUG"
"TELINTRA","TELINTRA","DRUG"
"Ezatiostat HCl","Ezatiostat HCl","DRUG"
"TER199","TER199","DRUG"
"EZATIOSTAT HYDROCHLORIDE","EZATIOSTAT HYDROCHLORIDE","DRUG"
"CHEMBL3902","CHEMBL3902","DRUG"
"WYE-103760","WYE-103760","DRUG"
"PF-5212377","PF-5212377","DRUG"
"SAM-760","SAM-760","DRUG"
"CHEMBL3371","CHEMBL3371","DRUG"
"LU AE58054","LU AE58054","DRUG"
"WAY-262531","WAY-262531","DRUG"
"Cerlapirdine","Cerlapirdine","DRUG"
"SAM-531","SAM-531","DRUG"
"PF-05212365","PF-05212365","DRUG"
"Intepirdine","Intepirdine","DRUG"
"RVT-101","RVT-101","DRUG"
"SB-742457","SB-742457","DRUG"
"GSK742457","GSK742457","DRUG"
"CHEMBL4223","CHEMBL4223","DRUG"
"CHEMBL2014","CHEMBL2014","DRUG"
"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene","(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene","DRUG"
"2-(N-Morpholino)-Ethanesulfonic Acid","2-(N-Morpholino)-Ethanesulfonic Acid","DRUG"
"alpha-Tocopherol succinate","alpha-Tocopherol succinate","DRUG"
"Busulfan","Busulfan","DRUG"
"Canfosfamide","Canfosfamide","DRUG"
"Carbocisteine","Carbocisteine","DRUG"
"Carboplatin","Carboplatin","DRUG"
"Chlorambucil","Chlorambucil","DRUG"
"Cibacron Blue","Cibacron Blue","DRUG"
"Cisplatin","Cisplatin","DRUG"
"Clozapine","Clozapine","DRUG"
"Curcumin","Curcumin","DRUG"
"Curcumin sulfate","Curcumin sulfate","DRUG"
"D-alpha-Tocopherol acetate","D-alpha-Tocopherol acetate","DRUG"
"Dinitrochlorobenzene","Dinitrochlorobenzene","DRUG"
"Ezatiostat","Ezatiostat","DRUG"
"Glutathione","Glutathione","DRUG"
"Glutathione Sulfonic Acid","Glutathione Sulfonic Acid","DRUG"
"Glycerin","Glycerin","DRUG"
"Hypericin","Hypericin","DRUG"
"Oxaliplatin","Oxaliplatin","DRUG"
"S-(4-BROMOBENZYL)CYSTEINE","S-(4-BROMOBENZYL)CYSTEINE","DRUG"
"S-(P-Nitrobenzyl)Glutathione","S-(P-Nitrobenzyl)Glutathione","DRUG"
"S-Hexylglutathione","S-Hexylglutathione","DRUG"
"S-Hydroxycysteine","S-Hydroxycysteine","DRUG"
"S-NONYL-CYSTEINE","S-NONYL-CYSTEINE","DRUG"
"Sulfamethoxazole","Sulfamethoxazole","DRUG"
"Amoxapine","Amoxapine","DRUG"
"Aripiprazole","Aripiprazole","DRUG"
"Aripiprazole lauroxil","Aripiprazole lauroxil","DRUG"
"Asenapine","Asenapine","DRUG"
"Dihydroergocornine","Dihydroergocornine","DRUG"
"Dihydroergocristine","Dihydroergocristine","DRUG"
"Dimethyltryptamine","Dimethyltryptamine","DRUG"
"Ergoloid mesylate","Ergoloid mesylate","DRUG"
"Iloperidone","Iloperidone","DRUG"
"Lysergic acid diethylamide","Lysergic acid diethylamide","DRUG"
"PRX-07034","PRX-07034","DRUG"
"Quetiapine","Quetiapine","DRUG"
"Sertindole","Sertindole","DRUG"
"Setiptiline","Setiptiline","DRUG"
"SGS518","SGS518","DRUG"
"SUVN-502","SUVN-502","DRUG"
"Tiapride","Tiapride","DRUG"
"Ziprasidone","Ziprasidone","DRUG"
"Buprenorphine","Buprenorphine","DRUG"
"Solian 100","Solian 100","DRUG"
"Solian 400","Solian 400","DRUG"
"Amisulpride","Amisulpride","DRUG"
"Zimeldine","Zimeldine","DRUG"
"Zimelidine","Zimelidine","DRUG"
"Dexfenfluramine","Dexfenfluramine","DRUG"
"Solian 200","Solian 200","DRUG"
"SOLIAN 50","SOLIAN 50","DRUG"
"Solian","Solian","DRUG"
"Zelmid","Zelmid","DRUG"
"Normud","Normud","DRUG"
"ONO-4819","ONO-4819","DRUG"
"Rivenprost","Rivenprost","DRUG"
"CHEMBL1836","CHEMBL1836","DRUG"
"Cytotec","Cytotec","DRUG"
"Mysodelle","Mysodelle","DRUG"
"Topogyne","Topogyne","DRUG"
"CHEMBL3710","CHEMBL3710","DRUG"
"YTTRIUM Y 90 TACATUZUMAB TETRAXETAN","YTTRIUM Y 90 TACATUZUMAB TETRAXETAN","DRUG"
"YTTRIUM (90Y) TACATUZUMAB TETRAXETAN","YTTRIUM (90Y) TACATUZUMAB TETRAXETAN","DRUG"
"Afp-Cide","Afp-Cide","DRUG"
"HAFP-31","HAFP-31","DRUG"
"CHEMBL3712864","CHEMBL3712864","DRUG"
"Castor oil","Castor oil","DRUG"
"Dinoprostone","Dinoprostone","DRUG"
"Grapiprant","Grapiprant","DRUG"
"Limaprost","Limaprost","DRUG"
"Bimatoprost","Bimatoprost","DRUG"
"Gemeprost","Gemeprost","DRUG"
"Prostin E2","Prostin E2","DRUG"
"CERVIDIL","CERVIDIL","DRUG"
"DINOPROSTONE BETA-CYCLODEXTRIN CLATHRATE","DINOPROSTONE BETA-CYCLODEXTRIN CLATHRATE","DRUG"
"Propess","Propess","DRUG"
"U-12062","U-12062","DRUG"
"PREPIDIL","PREPIDIL","DRUG"
"U-12,062","U-12,062","DRUG"
"Medised Plain","Medised Plain","DRUG"
"DISPROL INFANT","DISPROL INFANT","DRUG"
"Medinol For Children","Medinol For Children","DRUG"
"Calpol Six Plus Fastmelts","Calpol Six Plus Fastmelts","DRUG"
"MEDINOL OVER 6","MEDINOL OVER 6","DRUG"
"Disprol","Disprol","DRUG"
"Hedex","Hedex","DRUG"
"Panadol","Panadol","DRUG"
"Fennings","Fennings","DRUG"
"Panadol Advan","Panadol Advan","DRUG"
"Paramin","Paramin","DRUG"
"PANADOL ACTIFAST SOLB","PANADOL ACTIFAST SOLB","DRUG"
"Abdine","Abdine","DRUG"
"Panadol Jnr","Panadol Jnr","DRUG"
"GALPAMOL","GALPAMOL","DRUG"
"Tylenol","Tylenol","DRUG"
"Calpol Six Plus","Calpol Six Plus","DRUG"
"Perfalgan","Perfalgan","DRUG"
"TRAMIL 500","TRAMIL 500","DRUG"
"INJECTAPAP","INJECTAPAP","DRUG"
"Panaleve 6 Plus","Panaleve 6 Plus","DRUG"
"JUNIOR PARAPAED","JUNIOR PARAPAED","DRUG"
"CHEMBL2243","CHEMBL2243","DRUG"
"CHEMBL3989384","CHEMBL3989384","DRUG"
"1-DODECANOL","1-DODECANOL","DRUG"
"4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid","4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid","DRUG"
"4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid","4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid","DRUG"
"Methoxy arachidonyl fluorophosphonate","Methoxy arachidonyl fluorophosphonate","DRUG"
"Propofol","Propofol","DRUG"
"CHEMBL2364170","CHEMBL2364170","DRUG"
"ALBUFERON","ALBUFERON","DRUG"
"Albinterferon Alfa-2B","Albinterferon Alfa-2B","DRUG"
"Peginterferon alfa-2b","Peginterferon alfa-2b","DRUG"
"Alferon LDO","Alferon LDO","DRUG"
"Alferon N Gel","Alferon N Gel","DRUG"
"Alferon N Injection","Alferon N Injection","DRUG"
"INTERFERON ALFA-N3","INTERFERON ALFA-N3","DRUG"
"Leukocyte Interferon","Leukocyte Interferon","DRUG"
"PEGINTERFERON BETA-1A","PEGINTERFERON BETA-1A","DRUG"
"BIIB017","BIIB017","DRUG"
"Betaseron","Betaseron","DRUG"
"Interferon beta-1b","Interferon beta-1b","DRUG"
"Extavia","Extavia","DRUG"
"INFERGEN","INFERGEN","DRUG"
"Interferon alfacon-1","Interferon alfacon-1","DRUG"
"Neoferon","Neoferon","DRUG"
"RO 22-8181","RO 22-8181","DRUG"
"INTERFERON ALFA-2A (GENETICAL RECOMBINATION)","INTERFERON ALFA-2A (GENETICAL RECOMBINATION)","DRUG"
"INTERFERON ALFA-2A","INTERFERON ALFA-2A","DRUG"
"CHEMBL1957","CHEMBL1957","DRUG"
"Ro-4858696000","Ro-4858696000","DRUG"
"MECASERMIN RECOMBINANT","MECASERMIN RECOMBINANT","DRUG"
"INCRELEX","INCRELEX","DRUG"
"INSM-18","INSM-18","DRUG"
"FIGITUMUMAB","FIGITUMUMAB","DRUG"
"IPLEX","IPLEX","DRUG"
"MECASERMIN RINFABATE","MECASERMIN RINFABATE","DRUG"
"MECASERMIN RINFABATE RECOMBINANT","MECASERMIN RINFABATE RECOMBINANT","DRUG"
"RHIGF-I/RHIGFBP-3","RHIGF-I/RHIGFBP-3","DRUG"
"SOMATOKINE","SOMATOKINE","DRUG"
"BIIB-022","BIIB-022","DRUG"
"AEW-541","AEW-541","DRUG"
"NVP-AEW541","NVP-AEW541","DRUG"
"INTERFERON GAMMA","INTERFERON GAMMA","DRUG"
"Interferon Gamma-1B","Interferon Gamma-1B","DRUG"
"INTERFERON GAMMA-2A","INTERFERON GAMMA-2A","DRUG"
"Immukin","Immukin","DRUG"
"Actimmune","Actimmune","DRUG"
"CHEMBL2364171","CHEMBL2364171","DRUG"
"CHEMBL2782","CHEMBL2782","DRUG"
"GUSELKUMAB","GUSELKUMAB","DRUG"
"Tremfya","Tremfya","DRUG"
"CNTO 1959","CNTO 1959","DRUG"
"CHEMBL3580502","CHEMBL3580502","DRUG"
"MEDI2070","MEDI2070","DRUG"
"AMG-139","AMG-139","DRUG"
"BRAZIKUMAB","BRAZIKUMAB","DRUG"
"TILDRAKIZUMAB","TILDRAKIZUMAB","DRUG"
"PEG-IL-29","PEG-IL-29","DRUG"
"PEGINTERFERON LAMBDA-1A","PEGINTERFERON LAMBDA-1A","DRUG"
"PEG-RIL-29","PEG-RIL-29","DRUG"
"CHEMBL3831284","CHEMBL3831284","DRUG"
"Cenicriviroc","Cenicriviroc","DRUG"
"TBR-652","TBR-652","DRUG"
"TAK-652","TAK-652","DRUG"
"CHEMBL4015","CHEMBL4015","DRUG"
"CCX-140","CCX-140","DRUG"
"MLN1202","MLN1202","DRUG"
"PLOZALIZUMAB","PLOZALIZUMAB","DRUG"
"hu1D9","hu1D9","DRUG"
"AZD2423","AZD2423","DRUG"
"PF-04634817","PF-04634817","DRUG"
"BEACITA","BEACITA","DRUG"
"XENICAL","XENICAL","DRUG"
"Lipstatin","Lipstatin","DRUG"
"CHEMBL1812","CHEMBL1812","DRUG"
"Interferon alfa","Interferon alfa","DRUG"
"Interferon Alfa-2a, Recombinant","Interferon Alfa-2a, Recombinant","DRUG"
"Interferon alfa-n1","Interferon alfa-n1","DRUG"
"omega interferon","omega interferon","DRUG"
